dataset_size,ncp,running_times
5000.0,37.35,0.19
10000.0,32.61,0.38
15000.0,30.94,0.61
20000.0,29.98,0.8
25000.0,29.09,1.02
30000.0,28.31,1.19
30162.0,28.52,1.22
