ncp,number_of_qis,running_times
13.57,8.0,166.42
11.64,7.0,133.7
10.66,6.0,113.53
8.71,5.0,100.31
2.32,4.0,120.18
0.96,3.0,115.61
0.12,2.0,105.75
0.0,1.0,86.62
